apellidosnombre;;;edad;;;procedencia;;;oficio;;;lugarfallecimiento;;;fechafallecimiento
Andrés Ullate, Daniel;;;46;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;20 de septiembre de 1941
Andreu García, Máximo Alberto;;;34;;;Torrent (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;8 de noviembre de 1941
Andreu Rodriguez, Manuel;;;26;;;Daya (Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;4 de febrero de 1941
Andreu Salvado, Víctor;;;47;;;Tortosa (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;3 de diciembre de 1941
Andreu Solans, Bienvenido;;;43;;;Les Borges Blanques (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;19 de febrero de 1941
Andueza Restituto-Ranedo, Víctor;;;35;;;Alsasua/Altsasu (Navarra);;;-;;;Gusen - Campo de concentración (Austria);;;14 de febrero de 1941
Andújar Villaescusa, Francisco;;;24;;;Santomera (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;18 de febrero de 1942
Anglada Pascual, Enrique;;;27;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;16 de enero de 1942
Anglés Anglés, Venancio;;;29;;;Sabadell (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;16 de diciembre de 1941
Anglés García, Pedro;;;39;;;Alcorisa (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;30 de marzo de 1945
Anglés Vilanova, Estanislao;;;34;;;Càlig (Castellón);;;-;;;Gusen - Campo de concentración (Austria);;;27 de agosto de 1941
Angulo Vela , Felipe;;;29;;;Arza-Valle de Mena (Burgos);;;-;;;Gusen - Campo de concentración (Austria);;;25 de noviembre de 1942
Aniorte Pinar, Antonio;;;34;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;25 de junio de 1941
Año Juan, Mariano;;;41;;;Alcalà de Xivert (Castellón/Castelló);;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Ansaldo Ubiergo, Pascual;;;34;;;Monzón (Huesca);;;-;;;Steyr (Austria);;;10 de abril de 1943
Antiga Gómez, Enrique;;;21;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;26 de marzo de 1943
Antolín Mora, Juan;;;25;;;Monroyo (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;7 de diciembre de 1941
Antolín Sánchez, Teodoro;;;25;;;Villasabariego de Ucieza (Palencia);;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Antolino Antolín, XX;;;46;;;Palencia;;;-;;;Sachsenhausen (Alemania);;;0 de febrero de 1945
Antón Cabezas, Cándido;;;29;;;Guadalcanal (Sevilla);;;-;;;Gusen - Campo de concentración (Austria);;;10 de noviembre de 1941
Antonio Vidal, Juan;;;22;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;24 de febrero de 1942
Antuñano Montalvo, Melchor;;;34;;;Moralzarzal (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
Antúnez Medina,Antonio;;;39;;; Motril (Granada);;;-;;;Mauthausen;;;1 de octubre de 1942
Aparicio Baranda, Julián;;;24;;;Barakaldo (Vizcaya);;;-;;;Gusen - Campo de concentración (Austria);;;21 de noviembre de 1941
Aparicio Barrios, Ildefonso;;;25;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Aparicio Conejero, Pablo;;;28;;;Pina de Ebro (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;30 de junio de 1942
Aparicio Espejo, Miquel;;;35;;;Valverde de Leganés (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;5 de noviembre de 1941
Aparicio Ferrer, Mariano;;;30;;;Berge (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;28 de febrero de 1941
Aparicio León, José;;;22;;;Alacant/Alicante;;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Aparicio Sancho, José;;;43;;;Villanueva de Jiloca (Zaragoza);;;-;;;Dachau;;;31 de octubre de 1944
Aquilino, Alfonso;;;39;;;Santander;;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
Ara Villacampa, Domingo;;;34;;;Jaca (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;24 de diciembre de 1941
Aradilla Domínguez, José;;;32;;;Fuente de Cantos (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;11 de septiembre de 1941
Aragón Diazvaz, José;;;19;;;Sevilla;;;Soldado;;;Leningrado ;;;0 de julio de 1943
Aragón Santiago, Braulio;;;55;;;Castromocho (Palencia);;;-;;;Gusen - Campo de concentración (Austria);;;24 de junio de 1941
Aragonés Campderrós, Enrique;;;37;;;Rubí (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;7 de agosto de 1941
Aragonés Cubo, Desiderio;;;35;;;Vegas de Matute (Segovia);;;-;;;Gusen - Campo de concentración (Austria);;;12 de noviembre de 1941
Aragonés Martínez, Juan;;;45;;;Murcia;;;-;;;Gusen - Campo de concentración (Austria);;;5 de noviembre de 1941
Aragonés Piñol, Víctor;;;37;;;Tortosa (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;2 de noviembre de 1941
Aranda Alvarado, Antonio;;;34;;;Úbeda (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;2 de noviembre de 1941
Aranda Borrás, Miguel;;;42;;;Caspe (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;29 de septiembre de 1941
Aranda Carrera, Cristóbal;;;40;;;Lora del Río (Sevilla);;;-;;;Gusen - Campo de concentración (Austria);;;8 de mayo de 1941
Aranda Chacón, Román;;;24;;;Aranjuez (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
Aranda Gimeno, Segundo;;;39;;;Segura de los Baños (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;18 de noviembre de 1941
Aranda Gómez, Manuel;;;27;;;Hinojosa del Duque (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;8 de noviembre de 1941
Aranda Verdún, Wenceslao;;;28;;;Escucha (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;11 de noviembre de 1941
Araque Giménez, José;;;26;;;Montalbán de Córdoba (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;24 de diciembre de 1941
Araujo González, Antonio;;;25;;;Ourense;;;-;;;Gusen - Campo de concentración (Austria);;;11 de octubre de 1941
Arbones Gallinat, José;;;27;;;Massalcoreig (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;5 de noviembre de 1942
Arbones, José;;;42;;;Almatret (Lleida);;;-;;;Watenstedt - campo nazi;;;28 de enero de 1945
Arce Gutiérrez, Pedro;;;32;;;Valdemorillo (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Arco Ortiz, Francisco;;;23;;;Montefrío (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;2 de enero de 1942
Arcos Sánchez, Antonio de;;;31;;;Sabiote (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;15 de septiembre de 1941
Ardines Avín, Luis;;;36;;; Nueva-Llanes (Asturias);;;-;;;Mauthausen (Austria);;;1 de octubre de 1942
Ardite Pérez, Pedro;;;28;;;Cuevas del Almanzora (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;6 de octubre de 1942
Arece, Valentín;;;34;;;Jaurrieta (Navarra);;;-;;;Flossenbürg - Mülsen (St.Micheln) (Alemania);;;11 de octubre de 1944
Arenas Adamur, Rafael;;;27;;;Algarinejo (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Arenas Castillo, Felipe;;;53;;;Munera (Albacete);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1944
Arenas Fernández, Esteban;;;33;;;Mazarambroz (Toledo);;;-;;;Gusen - Campo de concentración (Austria);;;29 de octubre de 1941
Areste Areste, José;;;33;;;Maials (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;13 de enero de 1942
Aretxabaleta, Félix;;;60;;;Vitoria/Gasteiz (Alava/Araba);;;-;;;Buchenwald (Alemania) ? desaparecido;;;00
Arévalo Rubio, Isidoro;;;24;;;Pozoblanco (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;8 de enero de 1942
Argudo Molina, Antonio;;;24;;;Pedro Muñoz (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;13 de agosto de 1941
Argüelles, Nicolás;;;29;;;Madrid;;;-;;;Buchenwald - Alemania - desaparecido ?;;;00
Arias de la Fuente, Domingo;;;38;;;Alcalá la Real-Ribera Alta (Jaén);;;-;;;Gusen - Campo de concentración (Austria);;;26 de agosto de 1941
Arias Fernández, Ramón;;;30;;;Montiel (Ciudad Real);;;-;;;Gusen - Campo de concentración (Austria);;;21 de noviembre de 1941
Arias Giménez, Francisco;;;24;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;19 de diciembre de 1941
Arias López, Jesús;;;31;;;Sarria (Lugo);;;-;;;Gusen - Campo de concentración (Austria);;;14 de febrero de 1941
Arias Martínez, Blas;;;33;;;Buendía (Cuenca);;;-;;;Gusen - Campo de concentración (Austria);;;16 de enero de 1942
Ariño Cedó, Agustín;;;49;;;Tivissa (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;13 de octubre de 1941
Aris Estrada, Jaime;;;42;;;Sallent (Barcelona);;;-;;;Mauthausen;;;1 de octubre de 1942
Ariza Hurtado, Antonio;;;34;;;Arenas (Málaga);;;-;;;Steyr;;;30 de marzo de 1943
Armangue,Federico;;;51;;;Barcelona;;;-;;;Neckargerach;;;10 de enero de 1945
Armengol Artigas, Tomás;;;50;;;La Ginebrosa (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;17 de junio de 1941
Armengol Caldere, Ramón;;;37;;;La Nou de Berguedá (Barcelona);;;-;;;Mauthausen;;;2 de diciembre de 1941
Armengol Novau, Ramón;;;29;;;Foradada  (Lleida);;;-;;;Mauthausen;;;14 de febrero de 1942
Armenta Vázquez, Rafael;;;29;;;Sevilla ;;;-;;;Evadido en un tren en la región parisina;;;17 de agosto de 1944
Arminio del Valle, José;;;25;;;Aranjuez (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;12 de enero de 1942
Arnán Domingo, Sebastian;;;46;;;Sitges (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;30 de junio de 1941
Arnas Garralaga, José;;;34;;;Albalate del Arzobispo (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;17 de diciembre de 1941
Arnau Soler, José;;;22;;;Manresa (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Arnau Tárrega, Manuel;;;43;;;El Prat del Llobregat (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;21 de agosto de 1942
Arnoriaga Fernández, Julián;;;31;;;Bárcena de Pie de Concha (Cantabria);;;-;;;Melk (Austria) - campo nazi - subcampo de Mauthausen;;;8 de julio de 1944
Aroca Buleo, Elicio;;;28;;;Villanueva de la Jara (Cuenca);;;-;;;Gusen - Campo de concentración (Austria);;;12 de marzo de 1943
Aroca Castillo, Andrés;;;37;;;Higueruela (Albacete);;;-;;;Gusen - Campo de concentración (Austria);;;29 de noviembre de 1941
Arquès Agiles, (?);;;41;;;Juneda (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;1 de noviembre de 1941
Arques Hurtado, Antonio;;;27;;;Rafal (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;6 de agosto de 1941
Arques Miró, Eugenio;;;30;;;Sabadell (Barcelona);;;-;;;Hartheim;;;10 de febrero de 1942
Arráez Huste, Julián;;;31;;;Villanueva de Alcardete (Toledo);;;-;;;Hartheim;;;16 de octubre de 1942
Arranz Barrio, Antonio;;;45;;;L&#039;Hospitalet de Llobregat (bcn) - nacido en Segovia;;;-;;;Gusen - Campo de concentración (Austria);;;16 de noviembre de 1941 - 30
Arranz Saugar, Teodoro;;;26;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;29 de diciembre de 1941
Arranz Senovilla, Antonio;;;23;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;9 de enero de 1942
Arrate Itioz, José Miguel;;;20;;;San Sebastián/Donostia;;;-;;;Flossenbürg (Alemania) - desaparecido;;;00
Arriols, Francisco;;;22;;;Solsona (Lleida);;;-;;;Flossenbürg (Alemania) - desaparecido;;;00
Arrojo Arrojo, Emilio;;;38;;;Avilés (Asturias);;;-;;;Gusen - Campo de concentración (Austria);;;7 de octubre de 1941
Arroyo Alonso, Saturnino;;;26;;;Madrid;;;-;;;Gusen - Campo de concentración (Austria);;;25 de diciembre de 1941
Arroyo Ayuso, José;;;38;;;Campillo de Aranda (Burgos);;;-;;;Gusen - Campo de concentración (Austria);;;1 de noviembre de 1941
Arroyo Crespo, Francisco;;;38;;;Roa ( Burgos);;;-;;;Hartheim;;;12 de diciembre de 1941
Arroyo Morón, Fermín;;;29;;;Talavera la Vieja (Cáceres);;;-;;;Gusen - Campo de concentración (Austria);;;25 de agosto de 1941
Arrufat Fosch, Benedicto;;;56;;;Valderrobres (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;19 de junio de 1941
Artal Paracuellos, Aniceto;;;42;;;Moneva (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;27 de octubre de 1941
Arteaga Yerga, Ricardo;;;36;;;Fuente de Cantos (Badajoz);;;-;;;Gusen - Campo de concentración (Austria);;;29 de octubre de 1942
Artés Navarro, Manuel;;;38;;;Alhama de Almería (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;11 de diciembre de 1941
Artigau Rivas, Jaime;;;34;;;Hospitalet de Llobregat (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;22 de octubre de 1941 - 30
Arto Villuendas, Miguel;;;26;;;Codo (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
Artola Casals, Ángel;;;38;;;Sant Hilari Sacalm (Girona);;;-;;;Mauthausen - Gusen (Austria) - campo nazi ;;;31 de agosto de 1941
Artola Casals, Ramon;;;29;;;Sant Hilari Sacalm (Girona) - Nacido en Campos (Baleares);;;-;;;Gusen - Campo de concentración (Austria);;;31 de agosto de 1941
Artola Ituren, Aurelio;;;63;;;Lekeitio (Vizcaya);;;-;;;Dachau - campo nazi;;;29 de marzo de 1945
Artola Querol, Jaime;;;34;;;Iglesuela del Cid (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;2 de diciembre de 1941
Ascaso Ferrería, Juan;;;32;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;24 de septiembre de 1941
Asenjo Cano, Justino;;;41;;;Olmos de Peñafiel (Valladolid);;;-;;;Mauthausen;;;30 de abril de 1943
Asenjo Pineda, Jorge Manuel;;;19;;;Eivissa;;;soldado División Azul;;;Krassnyj Borr - Rusia ;;;10 de febrero de 1943
Asenjo Sanromán, Epifanio;;;29;;;Cebreros (Avila);;;-;;;Gusen - Campo de concentración (Austria);;;14 de diciembre de 1941
Asensio Asensio, Bernabé;;;28;;;El Cuervo (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;7 de enero de 1942
Asiain Martín, Luis;;;26;;;Madrid;;;-;;;Hartheim;;;23 de septiembre de 1941
Asín Boltaina, Victoriano;;;25;;;Mazaleón (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;18 de diciembre de 1941
Atienza Sánchez, Miguel;;;28;;;Chiclana de la Frontera (Cádiz);;;-;;;Hartheim;;;16 de octubre de 1942
Atienza Suñén, Roque;;;48;;;Zaragoza;;;-;;;Gusen - Campo de concentración (Austria);;;20 de noviembre de 1941
Atienza, Francisco;;;57;;;Mora de Rubielos (Teruel);;;-;;;Buchenwald;;;2 de marzo de 1945
Aula Mártir, Manuel;;;59;;;Albarracín (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;18 de abril de 1941
Aurioles Ruiz, Federico;;;42;;;Carratraca (Málaga);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Avalos Portero, Lucas;;;34;;;Peñarroya (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Avila Arnau, Manuel;;;32;;;Alcalà de Xivert (Castelló/Castellón);;;-;;;Gusen - Campo de concentración (Austria);;;23 de diciembre de 1941
Ávila Giménez, Rafael;;;33;;;Montefrío (Granada);;;-;;;Gusen - Campo de concentración (Austria);;;5 de agosto de 1941
Aviñó Ventura, José;;;46;;;Xerta (Tarragona);;;-;;;Hartheim;;;4 de diciembre de 1941
Axpe, Pedro;;;37;;;Bergara (Guipúzcoa);;;-;;;Dachau (Alemania);;;18 de diciembre de 1944
Ayala Sánchez, Jaime;;;24;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;25 de marzo de 1942
Aymerich Frigola, Francesc;;;45;;;Palafrugell (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;7 de diciembre de 1941
Ayora Fontdevilla, Francisco;;;40;;;Barcelona;;;-;;;Mauthausen;;;12 de febrero de 1942
Ayuso Camino, Juan;;;27;;;Menasalbas (Toledo);;;-;;;Gusen - Campo de concentración (Austria);;;1 de enero de 1942
Azagra Anzano, Pascual;;;36;;;Grañén (Huesca);;;-;;;Hersbruck - Campo de concentración (Alemania);;;11 de diciembre de 1944
Aznar Galipienso, Eleuterio;;;27;;;Crevillent (Alacant/Alicante);;;-;;;Gusen - Campo de concentración (Austria);;;15 de noviembre de 1941
Aznar Gracia, Antonio;;;26;;;Moyuela (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;26 de septiembre de 1941
Aznar, Ángel;;;41;;;Zaragoza;;;-;;;Dachau;;;27 de diciembre de 1944
Aznares Escot, Félix;;;31;;;Hecho (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;2 de abril de 1944
Azuaga Villalonga, José;;;28;;;El Pont de Bar (Lleida);;;-;;;Mauthausen;;;31 de enero de 1943
Azuaga Villalonga, Miguel;;;31;;;Sòller (Mallorca);;;-;;;Mauthausen (Austria);;;22 de octubre de 1942
Azurza Osategui, José María;;;34;;;San Sebastián/Donostia;;;-;;;Gusen - Campo de concentración (Austria);;;28 de octubre de 1941
Baches Cerezuela, Teodoro;;;24;;;Villanueva de Sigena (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;13 de enero de 1942
Bachs Vila, Vicente;;;35;;;Mollet del Vallés (Barcelona);;;-;;;Gusen - Campo de concentración (Austria);;;7 de julio de 1941
Badenas García, José;;;27;;;Valencia;;;-;;;Gusen - Campo de concentración (Austria);;;9 de marzo de 1941
Badenas Sánchez, Francisco;;;30;;;Barcelona;;;-;;;Gusen - Campo de concentración (Austria);;;28 de diciembre de 1941
Baena, Cecilio;;;24;;;Talaveruela de la Vera (Cáceres);;;-;;;Köln-Klingelpütz;;;11 de agosto de 43
Bagué Donatin, Lluís;;;38;;;Cervià de Ter (Girona);;;-;;;Mauthausen (Gusen) - Austria - campo nazi ;;;15 de noviembre de 1941
Baguena González, Eusebio;;;45;;;Teruel;;;-;;;Gusen - Campo de concentración (Austria);;;25 de junio de 1941
Báguena Murciano, Pedro;;;36;;;Viguillas de la Sierra (Teruel);;;-;;;Gusen - Campo de concentración (Austria);;;17 de mayo de 1941
Bagüeste Ballabriga, José;;;26;;;Salas Bajas (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;9 de enero de 1942
Bailén Segura, Pedro;;;33;;;Castejón de Monegros (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;23 de diciembre de 1941
Bailín Pérez, Liberio;;;28;;;As Nogais (Lugo);;;-;;;Mauthausen (Austria);;;13 de septiembre de 1944
Balaguer Barberá, Eduardo;;;39;;;El Perelló (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;22 de enero de 1942
Balaguer Navarro, Bienvenido;;;0;;;Fabara (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;15 de febrero de 1942
Balaguer Trilla, Alfredo;;;21;;;Corbins (Lleida);;;-;;;Gusen - Campo de concentración (Austria);;;11 de octubre de 1941
Balanya Oliva, José María;;;26;;;Figuerola del Camp (Tarragona);;;-;;;Gusen - Campo de concentración (Austria);;;14 de septiembre de 1941
Balastegui Caparro, Antonio;;;32;;;Turre (Almería);;;-;;;Gusen - Campo de concentración (Austria);;;28 de noviembre de 1941
Ballarín Clavería, Juan Mario;;;30;;;Sariñena (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;27 de julio de 1941
Ballester Dalmedo, Enrique;;;27;;;Maó (Menorca);;;-;;;Gusen - Campo de concentración (Austria);;;31 de enero de 1942
Ballester Gómez, José;;;23;;;Eslida (Castellón/Castelló);;;-;;;Hartheim;;;16 de octubre de 1942
Ballester Novales, Domingo;;;20;;;Tardienta (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;24 de diciembre de 1941
Ballester Pérez, Francisco;;;26;;;Valencia;;;-;;;Gusen - Campo de concentración (Austria);;;19 de noviembre de 1941
Ballester Serrano, José;;;32;;;L&#039;Hospitalet de Llobregat (Bcn) - nacido en Santomera (Murcia);;;-;;;Gusen - Campo de concentración (Austria);;;15 de diciembre de 1941 - 30
Ballesteros Bravo, Antonio;;;21;;;Luque (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;31 de julio de 1942
Ballesteros Ojeda, Antonio;;;29;;;Luque (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;8 de enero de 1944
Baltanas Dueñas, Pedro;;;26;;;Collado Villalba (Madrid);;;-;;;Gusen - Campo de concentración (Austria);;;20 de enero de 1942
Bandrés Lanaspa, Lázaro;;;23;;;Alcalá de Gurrea (Huesca);;;-;;;Gusen - Campo de concentración (Austria);;;1 de noviembre de 1941
Baños Cosgaya, Quisidio;;;45;;;Respenda de la Peña (Palencia);;;-;;;Gusen - Campo de concentración (Austria);;;31 de octubre de 1941
Baños Lozano, Rufino;;;28;;;El Burgo Ranero ;;;-;;;Mauthausen - KLM;;;5 de mayo de 1945
Baqué Cool, Josep;;;39;;;Lleida;;;-;;;Gusen - Campo de concentración (Austria);;;13 de noviembre de 1941
Barajas De la Fuente, Leocadio;;;45;;;Navarredonda de Gredos (Ávila);;;-;;;Mauthausen;;;29 de junio de 1942
Barba García, Joaquín;;;37;;;Yeste (Albacete);;;-;;;Gusen - Campo de concentración (Austria);;;24 de noviembre de 1941
Barba Murillo, José;;;40;;;Villanueva del Rey (Córdoba);;;-;;;Gusen - Campo de concentración (Austria);;;16 de agosto de 1941
Barba Roca, Josep;;;34;;;Tarragona;;;-;;;Hartheim (Austria);;;23 de septiembre de 1941
Barber Buira, Antonio;;;41;;;Sevilla (Sevilla);;;-;;;Bergen-Belsen;;;1 de marzo de 1945
Barberá Solá, Juan;;;31;;;Sagunto/Sagunt (Valencia);;;-;;;Gusen - Campo de concentración (Austria);;;14 de noviembre de 1941
Barberá, Rafael;;;27;;;Vallada (Valencia);;;-;;;Steyr;;;27 de diciembre de 1942
Barbero Barbero, Gregorio;;;29;;;Clarés de Ribota (Zaragoza);;;-;;;Gusen - Campo de concentración (Austria);;;22 de junio de 1941
